order_id,product,quantity,unit_price,order_date,total_price
1001,Laptop,2,899.99,2026-01-10,1799.98
1002,Mouse,5,19.99,2026-01-11,99.94999999999999
1003,Keyboard,3,49.99,2026-01-12,149.97
1004,Monitor,1,299.99,2026-01-13,299.99
1005,USB Cable,10,7.99,2026-01-14,79.9
1006,Webcam,2,79.99,2026-01-15,159.98
1007,Headphones,4,59.99,2026-01-16,239.96
1008,Desk Lamp,3,34.99,2026-01-17,104.97
1009,External SSD,2,149.99,2026-01-18,299.98
1010,Office Chair,1,249.99,2026-01-19,249.99
1011,Gaming Mouse,2,45.99,2026-01-20,91.98
1012,Gaming Keyboard,1,99.99,2026-01-20,99.99
1013,Laptop Stand,4,39.99,2026-01-21,159.96
1014,USB Hub,6,24.99,2026-01-21,149.94
1015,HDMI Cable,8,12.99,2026-01-22,103.92
1016,Printer,1,199.99,2026-01-22,199.99
1017,Ink Cartridge,5,29.99,2026-01-23,149.95
1018,Scanner,2,159.99,2026-01-23,319.98
1019,Microphone,3,89.99,2026-01-24,269.96999999999997
1020,Speakers,2,129.99,2026-01-24,259.98
1021,Graphics Tablet,1,349.99,2026-01-25,349.99
1022,Smartphone,3,699.99,2026-01-25,2099.9700000000003
1023,Tablet,2,499.99,2026-01-26,999.98
1024,Smartwatch,4,249.99,2026-01-26,999.96
1025,Power Bank,7,34.99,2026-01-27,244.93
1026,Wireless Charger,5,29.99,2026-01-27,149.95
1027,Router,2,119.99,2026-01-28,239.98
1028,Network Switch,1,89.99,2026-01-28,89.99
1029,Ethernet Cable,15,8.99,2026-01-29,134.85
1030,Projector,1,549.99,2026-01-29,549.99
1031,Flash Drive 64GB,10,14.99,2026-01-30,149.9
1032,Flash Drive 128GB,8,24.99,2026-01-30,199.92
1033,Mechanical Keyboard,2,129.99,2026-01-31,259.98
1034,Wireless Mouse,4,39.99,2026-01-31,159.96
1035,Laptop Backpack,3,69.99,2026-02-01,209.96999999999997
1036,Desk Organizer,5,18.99,2026-02-01,94.94999999999999
1037,Monitor Arm,2,99.99,2026-02-02,199.98
1038,Standing Desk,1,499.99,2026-02-02,499.99
1039,Ergonomic Chair,2,349.99,2026-02-03,699.98
1040,Notebook,20,4.99,2026-02-03,99.80000000000001
1041,Ballpoint Pen,50,1.49,2026-02-04,74.5
1042,Stapler,4,12.99,2026-02-04,51.96
1043,Paper Ream,10,6.99,2026-02-05,69.9
1044,Calculator,3,24.99,2026-02-05,74.97
1045,Label Maker,2,59.99,2026-02-06,119.98
1046,Desk Fan,3,44.99,2026-02-06,134.97
1047,Portable Monitor,2,229.99,2026-02-07,459.98
1048,Docking Station,3,179.99,2026-02-07,539.97
1049,Wireless Earbuds,5,89.99,2026-02-08,449.95
1050,4K Monitor,2,399.99,2026-02-08,799.98
