order_id,product,quantity,unit_price,order_date
1001,Laptop,2,899.99,2026-01-10
1002,Mouse,5,19.99,2026-01-11
1003,Keyboard,3,49.99,2026-01-12
1004,Monitor,1,299.99,2026-01-13
1005,USB Cable,10,7.99,2026-01-14
1006,Webcam,2,79.99,2026-01-15
1007,Headphones,4,59.99,2026-01-16
1008,Desk Lamp,3,34.99,2026-01-17
1009,External SSD,2,149.99,2026-01-18
1010,Office Chair,1,249.99,2026-01-19
1011,Gaming Mouse,2,45.99,2026-01-20
1012,Gaming Keyboard,1,99.99,2026-01-20
1013,Laptop Stand,4,39.99,2026-01-21
1014,USB Hub,6,24.99,2026-01-21
1015,HDMI Cable,8,12.99,2026-01-22
1016,Printer,1,199.99,2026-01-22
1017,Ink Cartridge,5,29.99,2026-01-23
1018,Scanner,2,159.99,2026-01-23
1019,Microphone,3,89.99,2026-01-24
1020,Speakers,2,129.99,2026-01-24
1021,Graphics Tablet,1,349.99,2026-01-25
1022,Smartphone,3,699.99,2026-01-25
1023,Tablet,2,499.99,2026-01-26
1024,Smartwatch,4,249.99,2026-01-26
1025,Power Bank,7,34.99,2026-01-27
1026,Wireless Charger,5,29.99,2026-01-27
1027,Router,2,119.99,2026-01-28
1028,Network Switch,1,89.99,2026-01-28
1029,Ethernet Cable,15,8.99,2026-01-29
1030,Projector,1,549.99,2026-01-29
1031,Flash Drive 64GB,10,14.99,2026-01-30
1032,Flash Drive 128GB,8,24.99,2026-01-30
1033,Mechanical Keyboard,2,129.99,2026-01-31
1034,Wireless Mouse,4,39.99,2026-01-31
1035,Laptop Backpack,3,69.99,2026-02-01
1036,Desk Organizer,5,18.99,2026-02-01
1037,Monitor Arm,2,99.99,2026-02-02
1038,Standing Desk,1,499.99,2026-02-02
1039,Ergonomic Chair,2,349.99,2026-02-03
1040,Notebook,20,4.99,2026-02-03
1041,Ballpoint Pen,50,1.49,2026-02-04
1042,Stapler,4,12.99,2026-02-04
1043,Paper Ream,10,6.99,2026-02-05
1044,Calculator,3,24.99,2026-02-05
1045,Label Maker,2,59.99,2026-02-06
1046,Desk Fan,3,44.99,2026-02-06
1047,Portable Monitor,2,229.99,2026-02-07
1048,Docking Station,3,179.99,2026-02-07
1049,Wireless Earbuds,5,89.99,2026-02-08
1050,4K Monitor,2,399.99,2026-02-08
